Title:  Solar Radiation of All station during year 1961 to 2017

SL.	Station	Year	Month	Decade	Solar Radiation
18429	Faridpur (11505)	1987	February	3	159.88
18430	Faridpur (11505)	1987	March	1	194.97
18431	Faridpur (11505)	1987	March	2	189.37
18432	Faridpur (11505)	1987	March	3	236.34
18433	Faridpur (11505)	1987	April	1	229.02
18434	Faridpur (11505)	1987	April	2	237.67
18435	Faridpur (11505)	1987	April	3	193.03
18436	Faridpur (11505)	1987	May	1	211.34
18437	Faridpur (11505)	1987	May	2	276.19
18438	Faridpur (11505)	1987	May	3	284.55
18439	Faridpur (11505)	1987	June	1	202.22
18440	Faridpur (11505)	1987	June	2	193.94
18441	Faridpur (11505)	1987	June	3	213.73
18442	Faridpur (11505)	1987	July	1	149.43
18443	Faridpur (11505)	1987	July	2	164.87
18444	Faridpur (11505)	1987	July	3	151.34
18445	Faridpur (11505)	1987	August	1	199.12
18446	Faridpur (11505)	1987	August	2	168.71
18447	Faridpur (11505)	1987	August	3	198.43
18448	Faridpur (11505)	1987	September	1	177.81
18449	Faridpur (11505)	1987	September	2	203.01
18450	Faridpur (11505)	1987	September	3	137.78
18451	Faridpur (11505)	1987	October	1	187.35
18452	Faridpur (11505)	1987	October	2	178.60
18453	Faridpur (11505)	1987	October	3	222.95
18454	Faridpur (11505)	1987	November	1	164.89
18455	Faridpur (11505)	1987	November	2	131.44
18456	Faridpur (11505)	1987	November	3	164.18
18457	Faridpur (11505)	1987	December	1	161.47
18458	Faridpur (11505)	1987	December	2	143.99
18459	Faridpur (11505)	1987	December	3	177.69
18460	Faridpur (11505)	1988	January	1	151.13
18461	Faridpur (11505)	1988	January	2	163.16
18462	Faridpur (11505)	1988	January	3	183.31
18463	Faridpur (11505)	1988	February	1	182.92
18464	Faridpur (11505)	1988	February	2	181.29
18465	Faridpur (11505)	1988	February	3	154.59
18466	Faridpur (11505)	1988	March	1	173.78
18467	Faridpur (11505)	1988	March	2	201.15
18468	Faridpur (11505)	1988	March	3	244.53
18469	Faridpur (11505)	1988	April	1	228.14
18470	Faridpur (11505)	1988	April	2	221.68
18471	Faridpur (11505)	1988	April	3	228.44
18472	Faridpur (11505)	1988	May	1	255.29
18473	Faridpur (11505)	1988	May	2	194.20
18474	Faridpur (11505)	1988	May	3	198.91
18475	Faridpur (11505)	1988	June	1	235.47
18476	Faridpur (11505)	1988	June	2	155.17
18477	Faridpur (11505)	1988	June	3	169.52
18478	Faridpur (11505)	1988	July	1	136.61
18479	Faridpur (11505)	1988	July	2	210.93
18480	Faridpur (11505)	1988	July	3	204.93
18481	Faridpur (11505)	1988	August	1	176.19
18482	Faridpur (11505)	1988	August	2	162.81
18483	Faridpur (11505)	1988	August	3	160.89
18484	Faridpur (11505)	1988	September	1	149.01
18485	Faridpur (11505)	1988	September	2	195.15
18486	Faridpur (11505)	1988	September	3	207.80
18487	Faridpur (11505)	1988	October	1	189.72
18488	Faridpur (11505)	1988	October	2	176.82
18489	Faridpur (11505)	1988	October	3	225.96
18490	Faridpur (11505)	1988	November	1	178.08
18491	Faridpur (11505)	1988	November	2	173.91
18492	Faridpur (11505)	1988	November	3	137.23
18493	Faridpur (11505)	1988	December	1	142.77
18494	Faridpur (11505)	1988	December	2	152.07
18495	Faridpur (11505)	1988	December	3	173.80
18496	Faridpur (11505)	1989	January	1	154.01
18497	Faridpur (11505)	1989	January	2	165.23
18498	Faridpur (11505)	1989	January	3	191.89
18499	Faridpur (11505)	1989	February	1	181.71
18500	Faridpur (11505)	1989	February	2	190.39
18501	Faridpur (11505)	1989	February	3	165.97
18502	Faridpur (11505)	1989	March	1	212.47
18503	Faridpur (11505)	1989	March	2	205.98
18504	Faridpur (11505)	1989	March	3	227.53
18505	Faridpur (11505)	1989	April	1	231.68
18506	Faridpur (11505)	1989	April	2	235.46
18507	Faridpur (11505)	1989	April	3	220.51
18508	Faridpur (11505)	1989	May	1	252.21
18509	Faridpur (11505)	1989	May	2	214.29
18510	Faridpur (11505)	1989	May	3	220.05
18511	Faridpur (11505)	1989	June	1	226.65
18512	Faridpur (11505)	1989	June	2	177.50
18513	Faridpur (11505)	1989	June	3	198.11
18514	Faridpur (11505)	1989	July	1	169.37
18515	Faridpur (11505)	1989	July	2	182.28
18516	Faridpur (11505)	1989	July	3	222.37
18517	Faridpur (11505)	1989	August	1	183.22
18518	Faridpur (11505)	1989	August	2	216.13
18519	Faridpur (11505)	1989	August	3	235.65
18520	Faridpur (11505)	1989	September	1	162.20
18521	Faridpur (11505)	1989	September	2	161.49
18522	Faridpur (11505)	1989	September	3	133.95
18523	Faridpur (11505)	1989	October	1	148.05
18524	Faridpur (11505)	1989	October	2	180.05
18525	Faridpur (11505)	1989	October	3	177.98
18526	Faridpur (11505)	1989	November	1	181.41
18527	Faridpur (11505)	1989	November	2	164.42
18528	Faridpur (11505)	1989	November	3	164.11
18529	Faridpur (11505)	1989	December	1	164.66
18530	Faridpur (11505)	1989	December	2	155.94
18531	Faridpur (11505)	1989	December	3	147.23
18532	Faridpur (11505)	1990	January	1	161.38
18533	Faridpur (11505)	1990	January	2	146.60
18534	Faridpur (11505)	1990	January	3	149.82
18535	Faridpur (11505)	1990	February	1	172.95
18536	Faridpur (11505)	1990	February	2	159.21
18537	Faridpur (11505)	1990	February	3	148.95
18538	Faridpur (11505)	1990	March	1	163.77
18539	Faridpur (11505)	1990	March	2	201.49
18540	Faridpur (11505)	1990	March	3	193.77
18541	Faridpur (11505)	1990	April	1	219.64
18542	Faridpur (11505)	1990	April	2	236.25
18543	Faridpur (11505)	1990	April	3	235.23
18544	Faridpur (11505)	1990	May	1	247.25
18545	Faridpur (11505)	1990	May	2	211.61
18546	Faridpur (11505)	1990	May	3	228.98
18547	Faridpur (11505)	1990	June	1	180.04
18548	Faridpur (11505)	1990	June	2	213.39
18549	Faridpur (11505)	1990	June	3	182.13
18550	Faridpur (11505)	1990	July	1	142.08
18551	Faridpur (11505)	1990	July	2	192.67
18552	Faridpur (11505)	1990	July	3	192.52
18553	Faridpur (11505)	1990	August	1	160.59
18554	Faridpur (11505)	1990	August	2	231.28
18555	Faridpur (11505)	1990	August	3	233.13
18556	Faridpur (11505)	1990	September	1	190.55
18557	Faridpur (11505)	1990	September	2	161.39
18558	Faridpur (11505)	1990	September	3	175.67
18559	Faridpur (11505)	1990	October	1	117.70
18560	Faridpur (11505)	1990	October	2	197.93
18561	Faridpur (11505)	1990	October	3	188.27
18562	Faridpur (11505)	1990	November	1	127.14
18563	Faridpur (11505)	1990	November	2	172.54
18564	Faridpur (11505)	1990	November	3	153.83
18565	Faridpur (11505)	1990	December	1	155.54
18566	Faridpur (11505)	1990	December	2	131.64
18567	Faridpur (11505)	1990	December	3	161.36
18568	Faridpur (11505)	1991	January	1	128.06
18569	Faridpur (11505)	1991	January	2	136.55
18570	Faridpur (11505)	1991	January	3	183.19
18571	Faridpur (11505)	1991	February	1	162.94
18572	Faridpur (11505)	1991	February	2	194.78
18573	Faridpur (11505)	1991	February	3	161.86
18574	Faridpur (11505)	1991	March	1	207.25
18575	Faridpur (11505)	1991	March	2	207.00
18576	Faridpur (11505)	1991	March	3	222.99
18577	Faridpur (11505)	1991	April	1	195.89
18578	Faridpur (11505)	1991	April	2	247.79
18579	Faridpur (11505)	1991	April	3	208.12
18580	Faridpur (11505)	1991	May	1	207.51
18581	Faridpur (11505)	1991	May	2	197.25
18582	Faridpur (11505)	1991	May	3	202.48
18583	Faridpur (11505)	1991	June	1	159.29
18584	Faridpur (11505)	1991	June	2	157.56
18585	Faridpur (11505)	1991	June	3	177.99
18586	Faridpur (11505)	1991	July	1	158.69
18587	Faridpur (11505)	1991	July	2	195.53
18588	Faridpur (11505)	1991	July	3	222.49
18589	Faridpur (11505)	1991	August	1	194.63
18590	Faridpur (11505)	1991	August	2	173.41
18591	Faridpur (11505)	1991	August	3	197.49
18592	Faridpur (11505)	1991	September	1	175.27
18593	Faridpur (11505)	1991	September	2	177.59
18594	Faridpur (11505)	1991	September	3	160.58
18595	Faridpur (11505)	1991	October	1	167.58
18596	Faridpur (11505)	1991	October	2	150.80
18597	Faridpur (11505)	1991	October	3	165.92
18598	Faridpur (11505)	1991	November	1	163.79
18599	Faridpur (11505)	1991	November	2	144.80
18600	Faridpur (11505)	1991	November	3	155.69
18601	Faridpur (11505)	1991	December	1	147.34
18602	Faridpur (11505)	1991	December	2	145.12
18603	Faridpur (11505)	1991	December	3	128.53
18604	Faridpur (11505)	1992	January	1	143.83
18605	Faridpur (11505)	1992	January	2	142.49
18606	Faridpur (11505)	1992	January	3	163.64
18607	Faridpur (11505)	1992	February	1	164.76
18608	Faridpur (11505)	1992	February	2	184.04
18609	Faridpur (11505)	1992	February	3	157.78
18610	Faridpur (11505)	1992	March	1	199.31
18611	Faridpur (11505)	1992	March	2	187.23
18612	Faridpur (11505)	1992	March	3	222.03
18613	Faridpur (11505)	1992	April	1	221.37
18614	Faridpur (11505)	1992	April	2	243.33
18615	Faridpur (11505)	1992	April	3	223.59
18616	Faridpur (11505)	1992	May	1	221.30
18617	Faridpur (11505)	1992	May	2	257.87
18618	Faridpur (11505)	1992	May	3	240.77
18619	Faridpur (11505)	1992	June	1	231.17
18620	Faridpur (11505)	1992	June	2	218.54
18621	Faridpur (11505)	1992	June	3	118.29
18622	Faridpur (11505)	1992	July	1	149.22
18623	Faridpur (11505)	1992	July	2	164.44
18624	Faridpur (11505)	1992	July	3	205.89
18625	Faridpur (11505)	1992	August	1	150.59
18626	Faridpur (11505)	1992	August	2	209.13
18627	Faridpur (11505)	1992	August	3	211.28
18628	Faridpur (11505)	1992	September	1	212.91
18629	Faridpur (11505)	1992	September	2	175.60
18630	Faridpur (11505)	1992	September	3	156.34
18631	Faridpur (11505)	1992	October	1	181.89
18632	Faridpur (11505)	1992	October	2	167.73
18633	Faridpur (11505)	1992	October	3	196.08
18634	Faridpur (11505)	1992	November	1	178.06
18635	Faridpur (11505)	1992	November	2	144.23
18636	Faridpur (11505)	1992	November	3	138.65
18637	Faridpur (11505)	1992	December	1	152.27
18638	Faridpur (11505)	1992	December	2	153.42
18639	Faridpur (11505)	1992	December	3	150.52
18640	Faridpur (11505)	1993	January	1	112.71
18641	Faridpur (11505)	1993	January	2	139.58
18642	Faridpur (11505)	1993	January	3	179.78
18643	Faridpur (11505)	1993	February	1	173.72
18644	Faridpur (11505)	1993	February	2	179.71
18645	Faridpur (11505)	1993	February	3	144.04
18646	Faridpur (11505)	1993	March	1	206.96
18647	Faridpur (11505)	1993	March	2	212.70
18648	Faridpur (11505)	1993	March	3	196.48
18649	Faridpur (11505)	1993	April	1	221.42
18650	Faridpur (11505)	1993	April	2	207.61
18651	Faridpur (11505)	1993	April	3	220.17
18652	Faridpur (11505)	1993	May	1	186.85
18653	Faridpur (11505)	1993	May	2	216.06
18654	Faridpur (11505)	1993	May	3	259.65
18655	Faridpur (11505)	1993	June	1	220.90
18656	Faridpur (11505)	1993	June	2	151.49
18657	Faridpur (11505)	1993	June	3	194.27
18658	Faridpur (11505)	1993	July	1	161.74
18659	Faridpur (11505)	1993	July	2	173.48
18660	Faridpur (11505)	1993	July	3	204.74
18661	Faridpur (11505)	1993	August	1	148.55
18662	Faridpur (11505)	1993	August	2	190.04
18663	Faridpur (11505)	1993	August	3	132.16
18664	Faridpur (11505)	1993	September	1	157.02
18665	Faridpur (11505)	1993	September	2	165.86
18666	Faridpur (11505)	1993	September	3	149.27
18667	Faridpur (11505)	1993	October	1	178.76
18668	Faridpur (11505)	1993	October	2	138.60
18669	Faridpur (11505)	1993	October	3	200.25
18670	Faridpur (11505)	1993	November	1	166.33
18671	Faridpur (11505)	1993	November	2	156.35
18672	Faridpur (11505)	1993	November	3	166.52
18673	Faridpur (11505)	1993	December	1	154.21
18674	Faridpur (11505)	1993	December	2	151.70
18675	Faridpur (11505)	1993	December	3	158.45
18676	Faridpur (11505)	1994	January	1	146.12
18677	Faridpur (11505)	1994	January	2	144.42
18678	Faridpur (11505)	1994	January	3	169.18
18679	Faridpur (11505)	1994	February	1	146.28
18680	Faridpur (11505)	1994	February	2	185.63
18681	Faridpur (11505)	1994	February	3	136.71
18682	Faridpur (11505)	1994	March	1	203.94
18683	Faridpur (11505)	1994	March	2	210.51
18684	Faridpur (11505)	1994	March	3	194.11
18685	Faridpur (11505)	1994	April	1	226.75
18686	Faridpur (11505)	1994	April	2	225.92
18687	Faridpur (11505)	1994	April	3	229.44
18688	Faridpur (11505)	1994	May	1	229.93
18689	Faridpur (11505)	1994	May	2	220.69
18690	Faridpur (11505)	1994	May	3	256.46
18691	Faridpur (11505)	1994	June	1	190.25
18692	Faridpur (11505)	1994	June	2	152.45
18693	Faridpur (11505)	1994	June	3	182.45
18694	Faridpur (11505)	1994	July	1	176.26
18695	Faridpur (11505)	1994	July	2	198.08
18696	Faridpur (11505)	1994	July	3	204.62
18697	Faridpur (11505)	1994	August	1	175.12
18698	Faridpur (11505)	1994	August	2	158.05
18699	Faridpur (11505)	1994	August	3	198.42
18700	Faridpur (11505)	1994	September	1	188.27
18701	Faridpur (11505)	1994	September	2	174.51
18702	Faridpur (11505)	1994	September	3	210.97
18703	Faridpur (11505)	1994	October	1	161.17
18704	Faridpur (11505)	1994	October	2	203.97
18705	Faridpur (11505)	1994	October	3	197.50
18706	Faridpur (11505)	1994	November	1	118.96
18707	Faridpur (11505)	1994	November	2	157.30
18708	Faridpur (11505)	1994	November	3	135.33
18709	Faridpur (11505)	1994	December	1	148.63
18710	Faridpur (11505)	1994	December	2	152.60
18711	Faridpur (11505)	1994	December	3	154.00
18712	Faridpur (11505)	1995	January	1	118.98
18713	Faridpur (11505)	1995	January	2	138.46
18714	Faridpur (11505)	1995	January	3	187.62
18715	Faridpur (11505)	1995	February	1	156.60
18716	Faridpur (11505)	1995	February	2	155.70
18717	Faridpur (11505)	1995	February	3	138.69
18718	Faridpur (11505)	1995	March	1	194.57
18719	Faridpur (11505)	1995	March	2	222.59
18720	Faridpur (11505)	1995	March	3	247.40
18721	Faridpur (11505)	1995	April	1	221.95
18722	Faridpur (11505)	1995	April	2	232.49
18723	Faridpur (11505)	1995	April	3	239.49
18724	Faridpur (11505)	1995	May	1	191.71
18725	Faridpur (11505)	1995	May	2	177.32
18726	Faridpur (11505)	1995	May	3	266.99
18727	Faridpur (11505)	1995	June	1	174.75
18728	Faridpur (11505)	1995	June	2	141.10
18729	Faridpur (11505)	1995	June	3	209.58
18730	Faridpur (11505)	1995	July	1	130.28
18731	Faridpur (11505)	1995	July	2	187.21
18732	Faridpur (11505)	1995	July	3	174.78
18733	Faridpur (11505)	1995	August	1	165.25
18734	Faridpur (11505)	1995	August	2	146.12
18735	Faridpur (11505)	1995	August	3	221.99
18736	Faridpur (11505)	1995	September	1	163.49
18737	Faridpur (11505)	1995	September	2	161.84
18738	Faridpur (11505)	1995	September	3	133.85
18739	Faridpur (11505)	1995	October	1	174.84
18740	Faridpur (11505)	1995	October	2	185.08
18741	Faridpur (11505)	1995	October	3	197.43
18742	Faridpur (11505)	1995	November	1	154.40
18743	Faridpur (11505)	1995	November	2	147.39
18744	Faridpur (11505)	1995	November	3	146.33
18745	Faridpur (11505)	1995	December	1	157.03
18746	Faridpur (11505)	1995	December	2	152.04
18747	Faridpur (11505)	1995	December	3	154.35
18748	Faridpur (11505)	1996	January	1	144.11
18749	Faridpur (11505)	1996	January	2	145.93
18750	Faridpur (11505)	1996	January	3	186.66
18751	Faridpur (11505)	1996	February	1	178.30
18752	Faridpur (11505)	1996	February	2	189.91
18753	Faridpur (11505)	1996	February	3	179.60
18754	Faridpur (11505)	1996	March	1	208.10
18755	Faridpur (11505)	1996	March	2	209.52
18756	Faridpur (11505)	1996	March	3	222.00
18757	Faridpur (11505)	1996	April	1	229.85
18758	Faridpur (11505)	1996	April	2	227.91
18759	Faridpur (11505)	1996	April	3	217.21
18760	Faridpur (11505)	1996	May	1	240.53
18761	Faridpur (11505)	1996	May	2	236.80
18762	Faridpur (11505)	1996	May	3	248.25
18763	Faridpur (11505)	1996	June	1	222.87
18764	Faridpur (11505)	1996	June	2	228.57
18765	Faridpur (11505)	1996	June	3	118.77
18766	Faridpur (11505)	1996	July	1	172.52
18767	Faridpur (11505)	1996	July	2	176.42
18768	Faridpur (11505)	1996	July	3	195.21
18769	Faridpur (11505)	1996	August	1	155.48
18770	Faridpur (11505)	1996	August	2	136.20
18771	Faridpur (11505)	1996	August	3	209.75
18772	Faridpur (11505)	1996	September	1	201.19
18773	Faridpur (11505)	1996	September	2	178.93
18774	Faridpur (11505)	1996	September	3	150.61
18775	Faridpur (11505)	1996	October	1	192.10
18776	Faridpur (11505)	1996	October	2	210.84
18777	Faridpur (11505)	1996	October	3	164.41
18778	Faridpur (11505)	1996	November	1	188.58
18779	Faridpur (11505)	1996	November	2	173.54
18780	Faridpur (11505)	1996	November	3	166.10
18781	Faridpur (11505)	1996	December	1	141.36
18782	Faridpur (11505)	1996	December	2	144.59
18783	Faridpur (11505)	1996	December	3	159.94
18784	Faridpur (11505)	1997	January	1	144.16
18785	Faridpur (11505)	1997	January	2	138.65
18786	Faridpur (11505)	1997	January	3	183.61
18787	Faridpur (11505)	1997	February	1	165.05
18788	Faridpur (11505)	1997	February	2	184.64
18789	Faridpur (11505)	1997	February	3	157.22
18790	Faridpur (11505)	1997	March	1	205.24
18791	Faridpur (11505)	1997	March	2	209.14
18792	Faridpur (11505)	1997	March	3	236.27
18793	Faridpur (11505)	1997	April	1	208.63
18794	Faridpur (11505)	1997	April	2	242.59
18795	Faridpur (11505)	1997	April	3	205.78
18796	Faridpur (11505)	1997	May	1	245.99
18797	Faridpur (11505)	1997	May	2	236.95
18798	Faridpur (11505)	1997	May	3	234.41
18799	Faridpur (11505)	1997	June	1	242.12
18800	Faridpur (11505)	1997	June	2	197.77
18801	Faridpur (11505)	1997	June	3	167.78
18802	Faridpur (11505)	1997	July	1	169.22
18803	Faridpur (11505)	1997	July	2	162.00
18804	Faridpur (11505)	1997	July	3	215.47
18805	Faridpur (11505)	1997	August	1	166.22
18806	Faridpur (11505)	1997	August	2	167.96
18807	Faridpur (11505)	1997	August	3	202.20
18808	Faridpur (11505)	1997	September	1	161.17
18809	Faridpur (11505)	1997	September	2	148.99
18810	Faridpur (11505)	1997	September	3	172.70
18811	Faridpur (11505)	1997	October	1	223.86
18812	Faridpur (11505)	1997	October	2	201.63
18813	Faridpur (11505)	1997	October	3	191.55
18814	Faridpur (11505)	1997	November	1	180.59
18815	Faridpur (11505)	1997	November	2	127.66
18816	Faridpur (11505)	1997	November	3	140.75
18817	Faridpur (11505)	1997	December	1	118.16
18818	Faridpur (11505)	1997	December	2	124.89
18819	Faridpur (11505)	1997	December	3	168.83
18820	Faridpur (11505)	1998	January	1	97.81
18821	Faridpur (11505)	1998	January	2	125.77
18822	Faridpur (11505)	1998	January	3	153.94
18823	Faridpur (11505)	1998	February	1	170.78
18824	Faridpur (11505)	1998	February	2	170.05
18825	Faridpur (11505)	1998	February	3	125.88
18826	Faridpur (11505)	1998	March	1	209.64
18827	Faridpur (11505)	1998	March	2	199.28
18828	Faridpur (11505)	1998	March	3	200.44
18829	Faridpur (11505)	1998	April	1	227.42
18830	Faridpur (11505)	1998	April	2	201.02
18831	Faridpur (11505)	1998	April	3	224.05
18832	Faridpur (11505)	1998	May	1	203.21
18833	Faridpur (11505)	1998	May	2	233.91
18834	Faridpur (11505)	1998	May	3	186.03
18835	Faridpur (11505)	1998	June	1	198.23
18836	Faridpur (11505)	1998	June	2	233.17
18837	Faridpur (11505)	1998	June	3	184.38
18838	Faridpur (11505)	1998	July	1	175.12
18839	Faridpur (11505)	1998	July	2	124.15
18840	Faridpur (11505)	1998	July	3	203.81
18841	Faridpur (11505)	1998	August	1	205.18
18842	Faridpur (11505)	1998	August	2	145.70
18843	Faridpur (11505)	1998	August	3	181.56
18844	Faridpur (11505)	1998	September	1	122.10
18845	Faridpur (11505)	1998	September	2	180.80
18846	Faridpur (11505)	1998	September	3	177.28
18847	Faridpur (11505)	1998	October	1	181.56
18848	Faridpur (11505)	1998	October	2	154.33
18849	Faridpur (11505)	1998	October	3	176.96
18850	Faridpur (11505)	1998	November	1	166.13
18851	Faridpur (11505)	1998	November	2	160.72
18852	Faridpur (11505)	1998	November	3	137.53
18853	Faridpur (11505)	1998	December	1	157.18
18854	Faridpur (11505)	1998	December	2	167.90
18855	Faridpur (11505)	1998	December	3	172.52
18856	Faridpur (11505)	1999	January	1	144.08
18857	Faridpur (11505)	1999	January	2	165.64
18858	Faridpur (11505)	1999	January	3	194.29
18859	Faridpur (11505)	1999	February	1	170.68
18860	Faridpur (11505)	1999	February	2	194.34
18861	Faridpur (11505)	1999	February	3	158.31
18862	Faridpur (11505)	1999	March	1	217.84
18863	Faridpur (11505)	1999	March	2	212.77
18864	Faridpur (11505)	1999	March	3	227.13
18865	Faridpur (11505)	1999	April	1	214.10
18866	Faridpur (11505)	1999	April	2	233.58
18867	Faridpur (11505)	1999	April	3	238.84
18868	Faridpur (11505)	1999	May	1	204.94
18869	Faridpur (11505)	1999	May	2	223.09
18870	Faridpur (11505)	1999	May	3	204.07
18871	Faridpur (11505)	1999	June	1	205.74
18872	Faridpur (11505)	1999	June	2	239.10
18873	Faridpur (11505)	1999	June	3	123.25
18874	Faridpur (11505)	1999	July	1	158.54
18875	Faridpur (11505)	1999	July	2	154.97
18876	Faridpur (11505)	1999	July	3	215.15
18877	Faridpur (11505)	1999	August	1	175.79
18878	Faridpur (11505)	1999	August	2	141.27
18879	Faridpur (11505)	1999	August	3	157.85
18880	Faridpur (11505)	1999	September	1	186.68
18881	Faridpur (11505)	1999	September	2	130.83
18882	Faridpur (11505)	1999	September	3	137.77
18883	Faridpur (11505)	1999	October	1	161.01
18884	Faridpur (11505)	1999	October	2	142.39
18885	Faridpur (11505)	1999	October	3	178.15
18886	Faridpur (11505)	1999	November	1	166.28
18887	Faridpur (11505)	1999	November	2	166.09
18888	Faridpur (11505)	1999	November	3	161.52
18889	Faridpur (11505)	1999	December	1	150.90
18890	Faridpur (11505)	1999	December	2	152.38
18891	Faridpur (11505)	1999	December	3	155.22
18892	Faridpur (11505)	2000	January	1	145.96
18893	Faridpur (11505)	2000	January	2	159.02
18894	Faridpur (11505)	2000	January	3	165.89
18895	Faridpur (11505)	2000	February	1	128.73
18896	Faridpur (11505)	2000	February	2	165.02
18897	Faridpur (11505)	2000	February	3	161.71
18898	Faridpur (11505)	2000	March	1	180.31
18899	Faridpur (11505)	2000	March	2	199.13
18900	Faridpur (11505)	2000	March	3	253.37
18901	Faridpur (11505)	2000	April	1	238.88
18902	Faridpur (11505)	2000	April	2	224.07
18903	Faridpur (11505)	2000	April	3	194.18
18904	Faridpur (11505)	2000	May	1	201.11
18905	Faridpur (11505)	2000	May	2	232.33
18906	Faridpur (11505)	2000	May	3	165.21
18907	Faridpur (11505)	2000	June	1	192.21
18908	Faridpur (11505)	2000	June	2	169.53
18909	Faridpur (11505)	2000	June	3	185.65
18910	Faridpur (11505)	2000	July	1	206.68
18911	Faridpur (11505)	2000	July	2	171.95
18912	Faridpur (11505)	2000	July	3	193.73
18913	Faridpur (11505)	2000	August	1	170.45
18914	Faridpur (11505)	2000	August	2	178.96
18915	Faridpur (11505)	2000	August	3	210.19
18916	Faridpur (11505)	2000	September	1	158.81
18917	Faridpur (11505)	2000	September	2	147.11
18918	Faridpur (11505)	2000	September	3	178.75
18919	Faridpur (11505)	2000	October	1	151.34
18920	Faridpur (11505)	2000	October	2	165.12
18921	Faridpur (11505)	2000	October	3	151.11
18922	Faridpur (11505)	2000	November	1	170.92
18923	Faridpur (11505)	2000	November	2	162.41
18924	Faridpur (11505)	2000	November	3	135.88
18925	Faridpur (11505)	2000	December	1	156.34
18926	Faridpur (11505)	2000	December	2	152.62
18927	Faridpur (11505)	2000	December	3	170.39
18928	Faridpur (11505)	2001	January	1	144.66
18929	Faridpur (11505)	2001	January	2	169.58
18930	Faridpur (11505)	2001	January	3	185.30
18931	Faridpur (11505)	2001	February	1	181.05
18932	Faridpur (11505)	2001	February	2	191.41
18933	Faridpur (11505)	2001	February	3	135.28
18934	Faridpur (11505)	2001	March	1	186.56
18935	Faridpur (11505)	2001	March	2	216.76
18936	Faridpur (11505)	2001	March	3	227.60
18937	Faridpur (11505)	2001	April	1	218.28
18938	Faridpur (11505)	2001	April	2	207.02
18939	Faridpur (11505)	2001	April	3	248.27
18940	Faridpur (11505)	2001	May	1	172.46
18941	Faridpur (11505)	2001	May	2	262.01
18942	Faridpur (11505)	2001	May	3	250.07
18943	Faridpur (11505)	2001	June	1	171.09
18944	Faridpur (11505)	2001	June	2	150.84
18945	Faridpur (11505)	2001	June	3	210.06
18946	Faridpur (11505)	2001	July	1	223.97
18947	Faridpur (11505)	2001	July	2	182.11
18948	Faridpur (11505)	2001	July	3	175.12
18949	Faridpur (11505)	2001	August	1	209.13
18950	Faridpur (11505)	2001	August	2	221.07
18951	Faridpur (11505)	2001	August	3	182.63
18952	Faridpur (11505)	2001	September	1	175.17
18953	Faridpur (11505)	2001	September	2	158.98
18954	Faridpur (11505)	2001	September	3	182.29
18955	Faridpur (11505)	2001	October	1	156.21
18956	Faridpur (11505)	2001	October	2	177.49
18957	Faridpur (11505)	2001	October	3	191.77
18958	Faridpur (11505)	2001	November	1	156.16
18959	Faridpur (11505)	2001	November	2	145.39
18960	Faridpur (11505)	2001	November	3	144.03
18961	Faridpur (11505)	2001	December	1	133.31
18962	Faridpur (11505)	2001	December	2	130.13
18963	Faridpur (11505)	2001	December	3	176.27
18964	Faridpur (11505)	2002	January	1	156.03
18965	Faridpur (11505)	2002	January	2	151.32
18966	Faridpur (11505)	2002	January	3	160.39
18967	Faridpur (11505)	2002	February	1	187.19
18968	Faridpur (11505)	2002	February	2	195.92
18969	Faridpur (11505)	2002	February	3	164.40
18970	Faridpur (11505)	2002	March	1	212.10
18971	Faridpur (11505)	2002	March	2	226.62
18972	Faridpur (11505)	2002	March	3	220.10
18973	Faridpur (11505)	2002	April	1	231.09
18974	Faridpur (11505)	2002	April	2	234.38
18975	Faridpur (11505)	2002	April	3	239.23
18976	Faridpur (11505)	2002	May	1	182.18
18977	Faridpur (11505)	2002	May	2	220.39
18978	Faridpur (11505)	2002	May	3	223.40
18979	Faridpur (11505)	2002	June	1	193.60
18980	Faridpur (11505)	2002	June	2	153.38
18981	Faridpur (11505)	2002	June	3	173.21
18982	Faridpur (11505)	2002	July	1	123.74
18983	Faridpur (11505)	2002	July	2	190.42
18984	Faridpur (11505)	2002	July	3	162.15
18985	Faridpur (11505)	2002	August	1	186.26
18986	Faridpur (11505)	2002	August	2	128.39
18987	Faridpur (11505)	2002	August	3	211.42
18988	Faridpur (11505)	2002	September	1	179.17
18989	Faridpur (11505)	2002	September	2	201.87
18990	Faridpur (11505)	2002	September	3	146.30
18991	Faridpur (11505)	2002	October	1	187.52
18992	Faridpur (11505)	2002	October	2	148.63
18993	Faridpur (11505)	2002	October	3	219.41
18994	Faridpur (11505)	2002	November	1	164.47
18995	Faridpur (11505)	2002	November	2	148.30
18996	Faridpur (11505)	2002	November	3	171.56
18997	Faridpur (11505)	2002	December	1	164.74
18998	Faridpur (11505)	2002	December	2	156.75
18999	Faridpur (11505)	2002	December	3	142.51
19000	Faridpur (11505)	2003	January	1	137.49
19001	Faridpur (11505)	2003	January	2	130.14
19002	Faridpur (11505)	2003	January	3	163.68
19003	Faridpur (11505)	2003	February	1	156.50
19004	Faridpur (11505)	2003	February	2	167.44
19005	Faridpur (11505)	2003	February	3	161.20
19006	Faridpur (11505)	2003	March	1	209.17
19007	Faridpur (11505)	2003	March	2	164.01
19008	Faridpur (11505)	2003	March	3	232.29
19009	Faridpur (11505)	2003	April	1	216.78
