Station,Year,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Dhaka,2002,4,0,0,23,10,0,15,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,19,0,0,25,
Dhaka,1959,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dhaka,1959,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,***,0,0,0,0,0
Dhaka,1960,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1960,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Dhaka,1960,3,0,1,1,0,0,1,2,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,2003,4,11,0,0,0,1,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,13,6,16,0,0,0,0,0,5,27,
Dhaka,2004,4,0,2,0,0,23,0,35,0,0,5,14,0,0,0,0,0,0,0,28,0,0,0,0,56,0,0,3,1,0,0,
Dhaka,2005,4,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,23,45,1,0,7,
Dhaka,2006,4,0,0,0,0,102,38,3,1,0,0,0,0,0,24,0,0,0,1,6,0,0,2,4,0,0,0,0,0,0,0,
Dhaka,2007,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,20,0,0,15,63,23,3,0,35,1,0,0,
Dhaka,2008,4,0,0,33,25,0,0,0,0,0,0,0,0,0,25,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,
Dhaka,2009,4,6,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Dhaka,1960,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dhaka,1960,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1961,1,***,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1961,2,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Dhaka,1961,3,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
Dhaka,2010,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,11,0,10,0,
Dhaka,2011,4,11,0,49,8,5,0,0,0,0,0,0,0,0,0,9,0,9,0,0,5,0,5,0,0,0,0,1,0,21,0,
